                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7333,                 4.4632,                 4.1502,                0.00068,                0.03394,                0.00064,                0.00025,                  3.635,                 4.4777,                 3.9608,               0.070319,              0.0032979,              0.0032979
                      1,                 3.2423,                 3.4781,                  3.577,                0.16235,                0.20976,                0.09967,                0.04274,                 2.6204,                 4.4088,                 3.3208,               0.040188,              0.0064999,              0.0064999
                      2,                 2.4517,                 2.4966,                 2.7684,                0.39326,                0.25428,                0.24761,                0.12964,                 2.1677,                 6.7178,                 2.8813,              0.0099246,              0.0095699,              0.0095699
                      3,                 2.0353,                 2.0242,                 2.2821,                0.61498,                 0.4773,                0.51027,                0.26869,                 1.8674,                 2.3092,                 2.3091,               0.009406,               0.009406,               0.009406
                      4,                  1.751,                 1.6304,                 1.9953,                 0.7206,                0.67752,                0.69196,                0.44537,                 1.4372,                 1.5398,                 1.7539,               0.009406,               0.009406,               0.009406
                      5,                 1.5322,                 1.4034,                 1.7661,                0.87434,                0.66475,                0.77321,                 0.5206,                 1.2532,                 1.3106,                 1.5585,               0.009208,               0.009208,               0.009208
                      6,                 1.4685,                 1.2812,                  1.689,                0.89569,                0.74376,                0.82973,                 0.5835,                 1.1826,                 1.2623,                  1.477,                0.00901,                0.00901,                0.00901
                      7,                 1.3753,                  1.182,                 1.6088,                0.84151,                0.70194,                0.81306,                0.55112,                 1.2647,                 1.1504,                 1.4907,               0.008812,               0.008812,               0.008812
                      8,                  1.329,                 1.1333,                 1.5576,                0.89041,                0.78924,                0.85373,                0.60055,                 1.1162,                 0.9725,                 1.3879,               0.008614,               0.008614,               0.008614
                      9,                 1.2658,                 1.0519,                 1.4764,                  0.902,                0.81105,                0.88701,                0.63814,                  1.052,                0.91361,                 1.3394,               0.008416,               0.008416,               0.008416
                     10,                 1.2379,                0.99464,                 1.4632,                0.89004,                0.75372,                  0.863,                0.62557,                 1.1018,                0.96023,                 1.3802,               0.008218,               0.008218,               0.008218
                     11,                 1.2048,                0.96714,                 1.4329,                 0.8395,                0.78828,                0.80636,                0.59189,                  1.034,                0.95056,                 1.3044,                0.00802,                0.00802,                0.00802
                     12,                 1.1972,                0.93479,                 1.4136,                0.84454,                 0.8165,                0.85929,                0.63807,                0.98894,                0.83076,                 1.2783,               0.007822,               0.007822,               0.007822
                     13,                 1.1645,                0.89787,                 1.3844,                0.92346,                0.81759,                0.90438,                0.66246,                 1.0106,                0.84884,                 1.2863,               0.007624,               0.007624,               0.007624
                     14,                 1.1103,                0.85474,                 1.3459,                0.92989,                0.85347,                0.92065,                0.66496,                  1.026,                 0.7275,                 1.2835,               0.007426,               0.007426,               0.007426
                     15,                 1.1128,                0.83824,                 1.3366,                0.93936,                0.86652,                0.93178,                0.69624,                0.96575,                0.70251,                 1.2457,               0.007228,               0.007228,               0.007228
                     16,                 1.0943,                0.82462,                 1.3246,                0.93559,                0.86202,                0.93211,                 0.6857,                0.97084,                0.73476,                 1.2473,                0.00703,                0.00703,                0.00703
                     17,                 1.0809,                0.80843,                 1.3115,                0.93067,                0.85907,                0.93279,                0.69987,                 0.9361,                 0.6568,                  1.215,               0.006832,               0.006832,               0.006832
                     18,                  1.067,                0.77824,                 1.2933,                0.94071,                0.85221,                0.92955,                0.70571,                0.91739,                0.66006,                 1.2039,               0.006634,               0.006634,               0.006634
                     19,                 1.0233,                0.74561,                 1.2544,                0.94773,                0.86809,                0.94072,                0.71813,                0.90346,                0.63955,                 1.1811,               0.006436,               0.006436,               0.006436
