                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7516,                 4.7226,                   4.29,                0.00045,                0.10046,                 0.0018,                0.00054,                 3.5527,                 4.8381,                 4.0868,               0.070789,              0.0032456,              0.0032456
                      1,                 3.7056,                 4.3883,                 4.0931,                0.00085,                 0.0411,                0.00143,                0.00051,                 3.5353,                 4.6631,                 4.0283,               0.040659,              0.0064487,              0.0064487
                      2,                 3.4707,                 4.0742,                 3.8925,                0.00094,                0.05479,                0.00065,                0.00031,                 3.4776,                 4.5378,                 4.0039,               0.010397,              0.0095198,              0.0095198
                      3,                 3.0863,                 3.7354,                 3.4215,                0.01282,                0.11986,                0.00304,                0.00118,                 3.3287,                 307.69,                 5.6715,               0.009406,               0.009406,               0.009406
                      4,                 2.8754,                 3.3053,                 3.0839,                0.15435,                0.41724,                0.11724,                0.04341,                  2.578,                 31.794,                 3.3373,               0.009406,               0.009406,               0.009406
                      5,                 2.6796,                 2.9246,                 2.8634,                0.14179,                0.30036,                0.09272,                0.03795,                  3.021,                 15.075,                 4.6831,               0.009208,               0.009208,               0.009208
                      6,                  2.517,                 2.6931,                 2.6433,                0.21783,                0.34488,                0.19672,                0.08258,                 2.4764,                 20.028,                  3.112,                0.00901,                0.00901,                0.00901
                      7,                 2.3922,                 2.3889,                 2.5375,                0.49738,                 0.4863,                0.45599,                0.22693,                   2.18,                 2.9656,                 2.4972,               0.008812,               0.008812,               0.008812
                      8,                 2.3083,                 2.2571,                 2.4533,                0.43961,                0.44635,                 0.3831,                0.19367,                 2.0932,                 2.6293,                 2.4245,               0.008614,               0.008614,               0.008614
                      9,                 2.1301,                 2.1038,                 2.2882,                0.66101,                0.50666,                0.54795,                0.27431,                 1.9665,                 2.8501,                 2.2527,               0.008416,               0.008416,               0.008416
                     10,                 2.0665,                 2.0389,                 2.2455,                  0.598,                0.55518,                0.58392,                0.32087,                 1.9428,                  2.305,                 2.2274,               0.008218,               0.008218,               0.008218
                     11,                  1.894,                 1.8218,                 2.0603,                0.70178,                0.57312,                0.61263,                0.32913,                 1.8292,                 2.5255,                 2.1079,                0.00802,                0.00802,                0.00802
                     12,                 1.8851,                 1.7492,                 2.0351,                0.80326,                0.51233,                0.63518,                0.34509,                 1.7863,                 1.6718,                  2.053,               0.007822,               0.007822,               0.007822
                     13,                 1.8575,                 1.6511,                  1.981,                0.72812,                0.63959,                0.67892,                 0.4107,                 1.7036,                 1.7042,                 1.9861,               0.007624,               0.007624,               0.007624
                     14,                 1.7268,                 1.5959,                 1.9051,                0.76238,                0.61435,                0.66745,                 0.3955,                  1.702,                 1.5939,                  1.948,               0.007426,               0.007426,               0.007426
                     15,                 1.7225,                 1.5782,                  1.903,                0.78441,                0.63756,                0.68977,                0.42205,                 1.5973,                 1.5262,                 1.8955,               0.007228,               0.007228,               0.007228
